# Copyright 2018 Matthew Todd
# 
# This file is part of Timesheet Analyzer.
# 
# Timesheet Analyzer is free software: you can redistribute it and/or modify it
# under the terms of the GNU General Public License as published by the Free
# Software Foundation, either version 3 of the License, or (at your option) any
# later version.
# 
# Timesheet Analyzer is distributed in the hope that it will be useful, but
# WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or
# FITNESS FOR A PARTICULAR PURPOSE.  See the GNU General Public License for more
# details.
# 
# You should have received a copy of the GNU General Public License along with
# Timesheet Analyzer.  If not, see <http://www.gnu.org/licenses/>.
#
# Test timesheet for development
#week  , charge cat , Mon   , Tue   , Wed   , Thu   , Fri   , Sat   , Sun
# 201724
201738 , holiday    , 00.00 , 00.00 , 00.00 , 00.00 , 00.00 , 00.00 , 00.00
201738 , comp       , 00.00 , 00.00 , 00.00 , 00.00 , 00.00 , 00.00 , 00.00
# 201739
201739 , labor      , 00.00 , 00.00 , 00.00 , 00.00 , 00.00 , 00.00 , 00.00
201739 , sick       , 00.00 , 00.00 , 00.00 , 00.00 , 00.00 , 00.00 , 00.00
201739 , vacation   , 00.00 , 00.00 , 00.00 , 00.00 , 00.00 , 00.00 , 00.00
201739 , holiday    , 00.00 , 00.00 , 00.00 , 00.00 , 00.00 , 00.00 , 00.00
201739 , comp       , 00.00 , 00.00 , 00.00 , 00.00 , 00.00 , 00.00 , 00.00


